age	year	catch.n	catch.wt
1	1957	32356	0.05
2	1957	49911	0.11
3	1957	69038	0.21
4	1957	45627	0.28
5	1957	32732	0.39
6	1957	8910	0.51
7	1957	11029	0.59
8	1957	9028	0.65
9	1957	4973	0.44
10	1957	10859	1.11
1	1958	66199	0.05
2	1958	80681	0.11
3	1958	45860	0.2
4	1958	64619	0.27
5	1958	36249	0.35
6	1958	19659	0.48
7	1958	8178	0.55
8	1958	8000	0.65
9	1958	6110	0.71
10	1958	13148	1.05
1	1959	116086	0.05
2	1959	144327	0.12
3	1959	76829	0.19
4	1959	36896	0.26
5	1959	45836	0.35
6	1959	23042	0.48
7	1959	13873	0.6
8	1959	6408	0.64
9	1959	6596	0.77
10	1959	16180	1.02
1	1960	73939	0.05
2	1960	173852	0.11
3	1960	106824	0.2
4	1960	52019	0.29
5	1960	22388	0.38
6	1960	27848	0.48
7	1960	14186	0.6
8	1960	9013	0.69
9	1960	5087	0.73
10	1960	15153	1.1
1	1961	75578	0.05
2	1961	146873	0.1
3	1961	122406	0.18
4	1961	68444	0.31
5	1961	34311	0.41
6	1961	12889	0.51
7	1961	14680	0.61
8	1961	9748	0.68
9	1961	5996	0.82
10	1961	14660	1.09
1	1962	51265	0.04
2	1962	183468	0.1
3	1962	123475	0.18
4	1962	88495	0.27
5	1962	50859	0.38
6	1962	20814	0.52
7	1962	9060	0.55
8	1962	9035	0.67
9	1962	5257	0.75
10	1962	12801	1.09
1	1963	90913	0.05
2	1963	140523	0.11
3	1963	151249	0.18
4	1963	86890	0.31
5	1963	56476	0.4
6	1963	31987	0.54
7	1963	12848	0.64
8	1963	6833	0.68
9	1963	7047	0.73
10	1963	16592	1.05
1	1964	66035	0.03
2	1964	167982	0.12
3	1964	104642	0.2
4	1964	98560	0.27
5	1964	60419	0.38
6	1964	37414	0.49
7	1964	15819	0.63
8	1964	6595	0.71
9	1964	3980	0.74
10	1964	16886	1.01
1	1965	43708	0.04
2	1965	435879	0.07
3	1965	101464	0.21
4	1965	56592	0.31
5	1965	44597	0.38
6	1965	30418	0.47
7	1965	18361	0.54
8	1965	8554	0.67
9	1965	4213	0.73
10	1965	17587	0.89
1	1966	38496	0.04
2	1966	167269	0.1
3	1966	414367	0.15
4	1966	65887	0.32
5	1966	38069	0.44
6	1966	27495	0.49
7	1966	16500	0.57
8	1966	10784	0.64
9	1966	6467	0.7
10	1966	14928	0.95
1	1967	20199	0.04
2	1967	139527	0.11
3	1967	117836	0.19
4	1967	265413	0.24
5	1967	42006	0.43
6	1967	22313	0.55
7	1967	16175	0.61
8	1967	8004	0.68
9	1967	6728	0.75
10	1967	11175	1
1	1968	73971	0.06
2	1968	81666	0.12
3	1968	87037	0.23
4	1968	64670	0.28
5	1968	146055	0.35
6	1968	17197	0.53
7	1968	10341	0.61
8	1968	10102	0.61
9	1968	3925	0.71
10	1968	13365	0.94
1	1969	85195	0.06
2	1969	82395	0.17
3	1969	61934	0.28
4	1969	55418	0.29
5	1969	36358	0.38
6	1969	104038	0.43
7	1969	10410	0.61
8	1969	6086	0.69
9	1969	8192	0.7
10	1969	16092	0.95
1	1970	123645	0.05
2	1970	169774	0.13
3	1970	78921	0.26
4	1970	57440	0.34
5	1970	45747	0.38
6	1970	35235	0.43
7	1970	78886	0.49
8	1970	6311	0.65
9	1970	4185	0.72
10	1970	14840	0.87
1	1971	69356	0.06
2	1971	126559	0.16
3	1971	90636	0.28
4	1971	36150	0.4
5	1971	26485	0.46
6	1971	22984	0.53
7	1971	16913	0.56
8	1971	29730	0.63
9	1971	6414	0.72
10	1971	16910	0.92
1	1972	72235	0.07
2	1972	91998	0.21
3	1972	96098	0.3
4	1972	58620	0.42
5	1972	23610	0.5
6	1972	17071	0.55
7	1972	14380	0.63
8	1972	10903	0.66
9	1972	18585	0.69
10	1972	15651	0.97
1	1973	133620	0.05
2	1973	81548	0.21
3	1973	63107	0.35
4	1973	73738	0.42
5	1973	43544	0.5
6	1973	13884	0.56
7	1973	8885	0.64
8	1973	9848	0.66
9	1973	6084	0.71
10	1973	23978	0.88
1	1974	213362	0.06
2	1974	331531	0.12
3	1974	59200	0.36
4	1974	42410	0.42
5	1974	41686	0.49
6	1974	19775	0.57
7	1974	8005	0.63
8	1974	6321	0.72
9	1974	5568	0.73
10	1974	21980	0.96
1	1975	245950	0.07
2	1975	308254	0.15
3	1975	252159	0.21
4	1975	36069	0.41
