 Simul. Age-Len - cut 25.7 - mesh 20 - NO qtrend                       
 1, 20
 Year, CatRec, CatFull , Urec, Ufull, Wrec, Wfull, Srat , M
  1,     64.4,   3991.7,   8.715,  42.924,  0.084,  1.950, 1.0, 0.2
  2,     86.4,   4144.5,  10.140,  38.230,  0.084,  2.017, 1.0, 0.2
  3,     43.2,   4165.5,   4.611,  35.418,  0.086,  1.960, 1.0, 0.2
  4,    103.8,   4088.1,   9.114,  28.834,  0.083,  2.106, 1.0, 0.2
  5,    122.5,   3979.1,   9.514,  26.966,  0.084,  1.922, 1.0, 0.2
  6,    139.1,   3842.9,   9.409,  25.889,  0.084,  1.700, 1.0, 0.2
  7,    131.9,   3514.8,   8.929,  25.043,  0.084,  1.507, 1.0, 0.2
  8,    174.8,   3376.7,  11.726,  24.285,  0.084,  1.397, 1.0, 0.2
  9,    115.6,   3369.8,   7.940,  25.965,  0.085,  1.244, 1.0, 0.2
 10,    193.3,   3349.2,  12.906,  24.376,  0.083,  1.256, 1.0, 0.2
 11,    182.3,   3466.6,  12.348,  27.011,  0.084,  1.149, 1.0, 0.2
 12,     73.4,   3564.6,   5.189,  28.633,  0.087,  1.116, 1.0, 0.2
 13,     89.9,   3161.1,   7.065,  24.300,  0.084,  1.305, 1.0, 0.2
 14,    184.6,   2690.0,  16.901,  22.606,  0.083,  1.397, 1.0, 0.2
 15,    131.1,   2305.5,  14.501,  29.358,  0.085,  1.152, 1.0, 0.2
 16,     87.8,   2187.3,  11.450,  33.374,  0.085,  1.127, 1.0, 0.2
 17,     80.7,   2223.9,  12.221,  34.385,  0.084,  1.234, 1.0, 0.2
 18,     88.1,   2141.1,  15.570,  35.812,  0.084,  1.327, 1.0, 0.2
 19,     57.9,   1967.0,  12.343,  39.680,  0.085,  1.339, 1.0, 0.2
 20,     57.6,   1823.5,  14.075,  40.477,  0.084,  1.447, 1.0, 0.2
 0.2 !! M - temporary, remove later

!! Stuf below for information: not read by CSA programs !!

  TRUE states
 Year , Btot , RecN , FullN , SSB ,  F* , C/N , qr , qf , S 
  1,  84427.4,   8544.1,  43158.9,  52080.6, 0.102, 0.078, 0.993E-03, 0.100E-02, 0.993
  2,  77968.7,   9973.5,  38471.4,  49685.1, 0.113, 0.087, 0.993E-03, 0.100E-02, 0.993
  3,  69824.4,   4340.0,  35722.6,  45338.1, 0.129, 0.105, 0.993E-03, 0.100E-02, 0.993
  4,  61494.8,   9072.5,  28943.9,  39915.8, 0.143, 0.110, 0.993E-03, 0.100E-02, 0.993
  5,  52641.9,   9325.1,  27225.2,  33291.9, 0.145, 0.112, 0.993E-03, 0.100E-02, 0.993
  6,  44799.0,   9212.2,  26155.8,  27353.6, 0.145, 0.113, 0.993E-03, 0.100E-02, 0.993
  7,  38496.9,   8731.1,  25307.8,  20935.4, 0.138, 0.107, 0.993E-03, 0.100E-02, 0.993
  8,  34923.5,  11572.9,  24525.2,  16843.5, 0.129, 0.098, 0.993E-03, 0.100E-02, 0.993
  9,  32970.4,   7655.3,  26307.3,  14278.8, 0.132, 0.103, 0.993E-03, 0.100E-02, 0.993
 10,  31693.1,  12800.4,  24578.6,  12312.1, 0.125, 0.095, 0.993E-03, 0.100E-02, 0.993
 11,  32087.6,  12071.6,  27378.8,  11671.4, 0.120, 0.092, 0.993E-03, 0.100E-02, 0.993
 12,  32419.5,   4859.5,  29000.0,  11824.7, 0.132, 0.107, 0.993E-03, 0.100E-02, 0.993
 13,  32294.9,   6985.4,  24431.7,  11616.4, 0.129, 0.103, 0.993E-03, 0.100E-02, 0.993
 14,  32998.4,  16859.8,  22774.5,  12637.5, 0.100, 0.073, 0.993E-03, 0.100E-02, 0.993
 15,  35045.9,  14115.6,  29850.1,  14492.5, 0.076, 0.055, 0.993E-03, 0.100E-02, 0.993
 16,  38571.7,  11119.2,  33789.0,  15481.4, 0.067, 0.051, 0.993E-03, 0.100E-02, 0.993
 17,  43477.4,  11994.5,  34702.3,  16729.4, 0.065, 0.049, 0.993E-03, 0.100E-02, 0.993
 18,  48839.6,  15350.9,  36146.7,  19813.8, 0.061, 0.043, 0.993E-03, 0.100E-02, 0.993
 19,  54168.3,  11980.8,  40133.8,  23513.3, 0.053, 0.039, 0.993E-03, 0.100E-02, 0.993
 20,  59779.6,  13839.8,  40817.7,  27788.1, 0.000, 0.034, 0.993E-03, 0.100E-02, 0.993


  Estimates of s based on mean-L
 for mesh =  20.0 , SF = 0.40 , Delta =  5.0
 and cut-off = 25.71
 Year , Lrec , Lfull , SelRec , SelFull , s
  1, 20.12, 53.41, 0.995, 1.000, 0.995,
  2, 20.11, 53.98, 0.995, 1.000, 0.995,
  3, 20.29, 52.95, 0.995, 1.000, 0.995,
  4, 20.06, 54.82, 0.995, 1.000, 0.995,
  5, 20.12, 52.23, 0.995, 1.000, 0.995,
  6, 20.13, 49.63, 0.995, 1.000, 0.995,
  7, 20.13, 47.80, 0.995, 1.000, 0.995,
  8, 20.09, 46.98, 0.995, 1.000, 0.995,
  9, 20.19, 45.21, 0.995, 1.000, 0.995,
 10, 20.07, 46.08, 0.995, 1.000, 0.995,
 11, 20.13, 44.44, 0.995, 1.000, 0.995,
 12, 20.31, 44.18, 0.996, 1.000, 0.996,
 13, 20.09, 47.43, 0.995, 1.000, 0.995,
 14, 20.05, 48.28, 0.995, 1.000, 0.995,
 15, 20.15, 43.96, 0.995, 1.000, 0.995,
 16, 20.16, 44.00, 0.995, 1.000, 0.995,
 17, 20.12, 45.90, 0.995, 1.000, 0.995,
 18, 20.10, 47.05, 0.995, 1.000, 0.995,
 19, 20.16, 46.83, 0.995, 1.000, 0.995,
 20, 20.11, 48.25, 0.995, 1.000, 0.995,
